ADANIGREEN | Mar 2022 | EPS CAGR | ZERO_BASE
ADANIGREEN | Mar 2023 | EPS CAGR | TURNAROUND
ADANIGREEN | Mar 2024 | EPS CAGR | TURNAROUND
ADANIPOWER | Mar 2018 | EPS CAGR | BOTH_NEGATIVE
ADANIPOWER | Mar 2019 | EPS CAGR | BOTH_NEGATIVE
ADANIPOWER | Mar 2020 | EPS CAGR | BOTH_NEGATIVE
ADANIPOWER | Mar 2022 | EPS CAGR | TURNAROUND
ADANIPOWER | Mar 2023 | EPS CAGR | TURNAROUND
ADANIPOWER | Mar 2024 | EPS CAGR | TURNAROUND
BANKBARODA | Mar 2018 | EPS CAGR | DECLINE_TO_LOSS
BANKBARODA | Mar 2021 | EPS CAGR | TURNAROUND
BANKBARODA | Mar 2023 | EPS CAGR | TURNAROUND
BHARTIARTL | Mar 2020 | EPS CAGR | DECLINE_TO_LOSS
BHARTIARTL | Mar 2021 | EPS CAGR | DECLINE_TO_LOSS
BHEL | Mar 2020 | EPS CAGR | DECLINE_TO_LOSS
BHEL | Mar 2021 | EPS CAGR | BOTH_NEGATIVE
CANBK | Mar 2018 | EPS CAGR | DECLINE_TO_LOSS
CANBK | Mar 2020 | EPS CAGR | DECLINE_TO_LOSS
CANBK | Mar 2021 | EPS CAGR | TURNAROUND
CANBK | Mar 2023 | EPS CAGR | TURNAROUND
DLF | Mar 2020 | EPS CAGR | DECLINE_TO_LOSS
GODREJCP | Mar 2024 | EPS CAGR | DECLINE_TO_LOSS
HINDALCO | Mar 2021 | EPS CAGR | TURNAROUND
IOC | Mar 2020 | EPS CAGR | DECLINE_TO_LOSS
JINDALSTEL | Mar 2018 | EPS CAGR | DECLINE_TO_LOSS
JINDALSTEL | Mar 2019 | EPS CAGR | DECLINE_TO_LOSS
JINDALSTEL | Mar 2020 | EPS CAGR | BOTH_NEGATIVE
JINDALSTEL | Mar 2021 | EPS CAGR | TURNAROUND
JINDALSTEL | Mar 2022 | EPS CAGR | TURNAROUND
JINDALSTEL | Mar 2023 | EPS CAGR | TURNAROUND
JINDALSTEL | Mar 2024 | EPS CAGR | TURNAROUND
JSWENERGY | Mar 2018 | EPS CAGR | INSUFFICIENT
JSWENERGY | Mar 2023 | EPS CAGR | ZERO_BASE
JSWSTEEL | Mar 2021 | EPS CAGR | TURNAROUND
LICI | Mar 2024 | EPS CAGR | INSUFFICIENT
NAUKRI | Mar 2020 | EPS CAGR | DECLINE_TO_LOSS
NAUKRI | Mar 2022 | EPS CAGR | TURNAROUND
NAUKRI | Mar 2023 | EPS CAGR | DECLINE_TO_LOSS
PNB | Mar 2018 | EPS CAGR | DECLINE_TO_LOSS
PNB | Mar 2018 | EPS CAGR | DECLINE_TO_LOSS
PNB | Mar 2018 | EPS CAGR | DECLINE_TO_LOSS
PNB | Mar 2018 | EPS CAGR | DECLINE_TO_LOSS
PNB | Mar 2018 | EPS CAGR | DECLINE_TO_LOSS
PNB | Mar 2019 | EPS CAGR | DECLINE_TO_LOSS
PNB | Mar 2019 | EPS CAGR | DECLINE_TO_LOSS
PNB | Mar 2019 | EPS CAGR | DECLINE_TO_LOSS
PNB | Mar 2019 | EPS CAGR | DECLINE_TO_LOSS
PNB | Mar 2019 | EPS CAGR | DECLINE_TO_LOSS
PNB | Mar 2021 | EPS CAGR | TURNAROUND
PNB | Mar 2021 | EPS CAGR | TURNAROUND
PNB | Mar 2021 | EPS CAGR | TURNAROUND
PNB | Mar 2021 | EPS CAGR | TURNAROUND
PNB | Mar 2021 | EPS CAGR | TURNAROUND
PNB | Mar 2023 | EPS CAGR | TURNAROUND
PNB | Mar 2023 | EPS CAGR | TURNAROUND
PNB | Mar 2023 | EPS CAGR | TURNAROUND
PNB | Mar 2023 | EPS CAGR | TURNAROUND
PNB | Mar 2023 | EPS CAGR | TURNAROUND
PNB | Mar 2024 | EPS CAGR | TURNAROUND
PNB | Mar 2024 | EPS CAGR | TURNAROUND
PNB | Mar 2024 | EPS CAGR | TURNAROUND
PNB | Mar 2024 | EPS CAGR | TURNAROUND
PNB | Mar 2024 | EPS CAGR | TURNAROUND
SIEMENS | Sep 2018 | EPS CAGR | INSUFFICIENT
TATACONSUM | Mar 2021 | EPS CAGR | ZERO_BASE
TATAMOTORS | Mar 2019 | EPS CAGR | DECLINE_TO_LOSS
TATAMOTORS | Mar 2020 | EPS CAGR | DECLINE_TO_LOSS
TATAMOTORS | Mar 2021 | EPS CAGR | DECLINE_TO_LOSS
TATAMOTORS | Mar 2022 | EPS CAGR | DECLINE_TO_LOSS
TATAMOTORS | Mar 2024 | EPS CAGR | TURNAROUND
TATAPOWER | Mar 2018 | EPS CAGR | ZERO_BASE
TATAPOWER | Mar 2019 | EPS CAGR | TURNAROUND
TATASTEEL | Mar 2018 | EPS CAGR | TURNAROUND
TATASTEEL | Mar 2020 | EPS CAGR | TURNAROUND
TATASTEEL | Mar 2021 | EPS CAGR | ZERO_BASE
TATASTEEL | Mar 2022 | EPS CAGR | TURNAROUND
TATASTEEL | Mar 2024 | EPS CAGR | DECLINE_TO_LOSS
TRENT | Mar 2018 | EPS CAGR | TURNAROUND
TRENT | Mar 2019 | EPS CAGR | TURNAROUND
TRENT | Mar 2021 | EPS CAGR | DECLINE_TO_LOSS
UNIONBANK | Mar 2018 | EPS CAGR | DECLINE_TO_LOSS
UNIONBANK | Mar 2019 | EPS CAGR | DECLINE_TO_LOSS
UNIONBANK | Mar 2020 | EPS CAGR | DECLINE_TO_LOSS
UNIONBANK | Mar 2023 | EPS CAGR | TURNAROUND
UNIONBANK | Mar 2024 | EPS CAGR | TURNAROUND
INDIGO | Mar 2020 | EPS CAGR | DECLINE_TO_LOSS
INDIGO | Mar 2021 | EPS CAGR | DECLINE_TO_LOSS
INDIGO | Mar 2022 | EPS CAGR | DECLINE_TO_LOSS
INDIGO | Mar 2023 | EPS CAGR | DECLINE_TO_LOSS
